Number of Disks,Depth_First_Search,Bidirectional_BFS,Breadth_First_Search,Iterative_Deepening_DFS
2,0.0001563920000000052,0.00021266899999999866,9.628599999997323e-05,0.000472911999999992
3,0.00020404399999998657,0.00045527200000000656,0.0007194209999999979,0.0009876420000000108
4,0.0009506330000000063,0.0017945900000000126,0.003294816000000006,0.009155311
5,0.0020163660000000194,0.007936978000000011,0.01786741,0.05507503899999999
6,0.006868233000000001,0.04157204400000003,0.10616472100000002,0.5379369860000001
7,0.012976038999999995,0.26530022,0.7402625949999999,4.933634893
8,0.06765991999999965,2.0260690190000004,6.571621341,55.26996346799999
9,0.1284776329999886,16.297773957999993,52.62921887200001,744.907908745
10,0.7262657829999171,118.00814989700007,389.93353205799997,8319.07307241

