134.84.62.110 128.101.37.6 54650 10240 0.008761453628540038
134.84.62.115 128.101.37.20 50002 10240 0.07677617073059081
134.84.62.110 128.101.37.6 45794 1024000 1.7335727214813232
134.84.62.115 128.101.37.20 33044 1024000 0.05699348449707031
134.84.62.115 128.101.37.6 45794 102400 0.015069246292114258
134.84.62.110 128.101.37.20 33044 10240000 0.9410727024078369
134.84.62.115 128.101.37.20 33044 10240000 0.7052090167999268
134.84.62.115 128.101.37.6 45794 10240000 0.4372284412384033
134.84.62.115 128.101.37.6 45794 1024000 0.01920604705810547
134.84.62.115 128.101.37.6 45794 1024000 0.05213918685913086
134.84.62.115 128.101.37.20 33044 102400 0.003786945343017578
